0 ERROR [main] ants.GebiBot  - Test
37 DEBUG [main] ants.GebiBot  - ------ turn 0 --------
49 DEBUG [main] ants.GebiBot  - kante nach rechts
50 DEBUG [main] ants.GebiBot  - kante nach unten
50 DEBUG [main] ants.GebiBot  - kante nach rechts
50 DEBUG [main] ants.GebiBot  - kante nach unten
50 DEBUG [main] ants.GebiBot  - kante nach rechts
50 DEBUG [main] ants.GebiBot  - kante nach unten
50 DEBUG [main] ants.GebiBot  - kante nach rechts
50 DEBUG [main] ants.GebiBot  - kante nach unten
50 DEBUG [main] ants.GebiBot  - kante nach rechts
51 DEBUG [main] ants.GebiBot  - kante nach unten
51 DEBUG [main] ants.GebiBot  - kante nach rechts
51 DEBUG [main] ants.GebiBot  - kante nach unten
51 DEBUG [main] ants.GebiBot  - kante nach rechts
51 DEBUG [main] ants.GebiBot  - kante nach unten
52 DEBUG [main] ants.GebiBot  - kante nach rechts
52 DEBUG [main] ants.GebiBot  - kante nach unten
52 DEBUG [main] ants.GebiBot  - kante nach rechts
52 DEBUG [main] ants.GebiBot  - kante nach unten
53 DEBUG [main] ants.GebiBot  - kante nach rechts
53 DEBUG [main] ants.GebiBot  - kante nach unten
53 DEBUG [main] ants.GebiBot  - kante nach rechts
53 DEBUG [main] ants.GebiBot  - kante nach unten
53 DEBUG [main] ants.GebiBot  - kante nach rechts
53 DEBUG [main] ants.GebiBot  - kante nach unten
53 DEBUG [main] ants.GebiBot  - kante nach rechts
53 DEBUG [main] ants.GebiBot  - kante nach unten
53 DEBUG [main] ants.GebiBot  - kante nach rechts
54 DEBUG [main] ants.GebiBot  - kante nach unten
54 DEBUG [main] ants.GebiBot  - kante nach rechts
54 DEBUG [main] ants.GebiBot  - kante nach unten
54 DEBUG [main] ants.GebiBot  - kante nach rechts
55 DEBUG [main] ants.GebiBot  - kante nach unten
55 DEBUG [main] ants.GebiBot  - kante nach rechts
55 DEBUG [main] ants.GebiBot  - kante nach unten
55 DEBUG [main] ants.GebiBot  - kante nach rechts
55 DEBUG [main] ants.GebiBot  - kante nach unten
55 DEBUG [main] ants.GebiBot  - kante nach rechts
55 DEBUG [main] ants.GebiBot  - kante nach unten
56 DEBUG [main] ants.GebiBot  - kante nach rechts
56 DEBUG [main] ants.GebiBot  - kante nach unten
56 DEBUG [main] ants.GebiBot  - kante nach rechts
56 DEBUG [main] ants.GebiBot  - kante nach unten
56 DEBUG [main] ants.GebiBot  - kante nach rechts
56 DEBUG [main] ants.GebiBot  - kante nach unten
57 DEBUG [main] ants.GebiBot  - kante nach rechts
57 DEBUG [main] ants.GebiBot  - kante nach unten
57 DEBUG [main] ants.GebiBot  - kante nach rechts
58 DEBUG [main] ants.GebiBot  - kante nach unten
58 DEBUG [main] ants.GebiBot  - kante nach rechts
58 DEBUG [main] ants.GebiBot  - kante nach unten
58 DEBUG [main] ants.GebiBot  - kante nach rechts
58 DEBUG [main] ants.GebiBot  - kante nach unten
58 DEBUG [main] ants.GebiBot  - kante nach rechts
58 DEBUG [main] ants.GebiBot  - kante nach unten
58 DEBUG [main] ants.GebiBot  - kante nach rechts
58 DEBUG [main] ants.GebiBot  - kante nach unten
59 DEBUG [main] ants.GebiBot  - kante nach rechts
59 DEBUG [main] ants.GebiBot  - kante nach unten
59 DEBUG [main] ants.GebiBot  - kante nach rechts
59 DEBUG [main] ants.GebiBot  - kante nach unten
59 DEBUG [main] ants.GebiBot  - kante nach rechts
59 DEBUG [main] ants.GebiBot  - kante nach unten
59 DEBUG [main] ants.GebiBot  - kante nach rechts
59 DEBUG [main] ants.GebiBot  - kante nach unten
59 DEBUG [main] ants.GebiBot  - kante nach rechts
59 DEBUG [main] ants.GebiBot  - kante nach unten
60 DEBUG [main] ants.GebiBot  - kante nach rechts
60 DEBUG [main] ants.GebiBot  - kante nach unten
60 DEBUG [main] ants.GebiBot  - kante nach rechts
60 DEBUG [main] ants.GebiBot  - kante nach unten
60 DEBUG [main] ants.GebiBot  - kante nach rechts
60 DEBUG [main] ants.GebiBot  - kante nach unten
60 DEBUG [main] ants.GebiBot  - kante nach rechts
60 DEBUG [main] ants.GebiBot  - kante nach unten
61 DEBUG [main] ants.GebiBot  - kante nach rechts
61 DEBUG [main] ants.GebiBot  - kante nach unten
61 DEBUG [main] ants.GebiBot  - kante nach unten
61 DEBUG [main] ants.GebiBot  - kante nach rechts
62 DEBUG [main] ants.GebiBot  - kante nach unten
62 DEBUG [main] ants.GebiBot  - kante nach rechts
62 DEBUG [main] ants.GebiBot  - kante nach unten
62 DEBUG [main] ants.GebiBot  - kante nach rechts
63 DEBUG [main] ants.GebiBot  - kante nach unten
63 DEBUG [main] ants.GebiBot  - kante nach rechts
63 DEBUG [main] ants.GebiBot  - kante nach unten
63 DEBUG [main] ants.GebiBot  - kante nach rechts
63 DEBUG [main] ants.GebiBot  - kante nach unten
64 DEBUG [main] ants.GebiBot  - kante nach rechts
64 DEBUG [main] ants.GebiBot  - kante nach unten
64 DEBUG [main] ants.GebiBot  - kante nach rechts
64 DEBUG [main] ants.GebiBot  - kante nach unten
64 DEBUG [main] ants.GebiBot  - kante nach rechts
64 DEBUG [main] ants.GebiBot  - kante nach unten
64 DEBUG [main] ants.GebiBot  - kante nach rechts
64 DEBUG [main] ants.GebiBot  - kante nach unten
64 DEBUG [main] ants.GebiBot  - kante nach rechts
65 DEBUG [main] ants.GebiBot  - kante nach unten
65 DEBUG [main] ants.GebiBot  - kante nach rechts
69 DEBUG [main] ants.GebiBot  - kante nach unten
69 DEBUG [main] ants.GebiBot  - kante nach rechts
69 DEBUG [main] ants.GebiBot  - kante nach unten
69 DEBUG [main] ants.GebiBot  - kante nach rechts
69 DEBUG [main] ants.GebiBot  - kante nach unten
69 DEBUG [main] ants.GebiBot  - kante nach rechts
69 DEBUG [main] ants.GebiBot  - kante nach unten
69 DEBUG [main] ants.GebiBot  - kante nach rechts
69 DEBUG [main] ants.GebiBot  - kante nach unten
69 DEBUG [main] ants.GebiBot  - kante nach rechts
70 DEBUG [main] ants.GebiBot  - kante nach unten
70 DEBUG [main] ants.GebiBot  - kante nach rechts
70 DEBUG [main] ants.GebiBot  - kante nach unten
70 DEBUG [main] ants.GebiBot  - kante nach rechts
70 DEBUG [main] ants.GebiBot  - kante nach unten
70 DEBUG [main] ants.GebiBot  - kante nach rechts
70 DEBUG [main] ants.GebiBot  - kante nach unten
70 DEBUG [main] ants.GebiBot  - kante nach rechts
70 DEBUG [main] ants.GebiBot  - kante nach unten
70 DEBUG [main] ants.GebiBot  - kante nach rechts
70 DEBUG [main] ants.GebiBot  - kante nach unten
71 DEBUG [main] ants.GebiBot  - kante nach rechts
71 DEBUG [main] ants.GebiBot  - kante nach unten
71 DEBUG [main] ants.GebiBot  - kante nach rechts
71 DEBUG [main] ants.GebiBot  - kante nach unten
71 DEBUG [main] ants.GebiBot  - kante nach rechts
71 DEBUG [main] ants.GebiBot  - kante nach unten
72 DEBUG [main] ants.GebiBot  - kante nach rechts
72 DEBUG [main] ants.GebiBot  - kante nach unten
72 DEBUG [main] ants.GebiBot  - kante nach rechts
72 DEBUG [main] ants.GebiBot  - kante nach unten
72 DEBUG [main] ants.GebiBot  - kante nach rechts
73 DEBUG [main] ants.GebiBot  - kante nach unten
73 DEBUG [main] ants.GebiBot  - kante nach rechts
73 DEBUG [main] ants.GebiBot  - kante nach unten
74 DEBUG [main] ants.GebiBot  - kante nach rechts
74 DEBUG [main] ants.GebiBot  - kante nach unten
74 DEBUG [main] ants.GebiBot  - kante nach rechts
74 DEBUG [main] ants.GebiBot  - kante nach unten
74 DEBUG [main] ants.GebiBot  - kante nach rechts
75 DEBUG [main] ants.GebiBot  - kante nach unten
75 DEBUG [main] ants.GebiBot  - kante nach rechts
75 DEBUG [main] ants.GebiBot  - kante nach unten
75 DEBUG [main] ants.GebiBot  - kante nach rechts
76 DEBUG [main] ants.GebiBot  - kante nach unten
76 DEBUG [main] ants.GebiBot  - kante nach rechts
76 DEBUG [main] ants.GebiBot  - kante nach unten
76 DEBUG [main] ants.GebiBot  - kante nach rechts
77 DEBUG [main] ants.GebiBot  - kante nach unten
77 DEBUG [main] ants.GebiBot  - kante nach rechts
77 DEBUG [main] ants.GebiBot  - kante nach unten
77 DEBUG [main] ants.GebiBot  - kante nach rechts
78 DEBUG [main] ants.GebiBot  - kante nach unten
78 DEBUG [main] ants.GebiBot  - kante nach rechts
78 DEBUG [main] ants.GebiBot  - kante nach unten
